Published,Title,Author,Page Count,Genre,Reserved
1976,Children of Dune,Frank Herbert,444,Fiction,No
1965,Dune,Frank Herbert,412,Fiction,No
1969,Dune Messiah,Frank Herbert,352,Fiction,No
1953,Farenheit 451,Ray Bradbury,249,Fiction,No
1998,Harry Potter and the Chamber of Secrets,J.K. Rowling,352,Fiction,No
2009,Harry Potter and the Deathly Hallows,J.K. Rowling,784,Fiction,No
2000,Harry Potter and the Goblet of Fire,J.K. Rowling,734,Fiction,No
2005,Harry Potter and the Half-Blood Prince,J.K. Rowling,672,Fiction,No
2003,Harry Potter and the Order of the Phoenix,J.K. Rowling,870,Fiction,No
1999,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,435,Fiction,No
1997,Harry Potter and the Sorcerer's Stone,J.K. Rowling,223,Fiction,No
1946,Man's Search for Meaning,Viktor Frankl,196,Biography,No
1988,The Alchemist,Paulo Coelho,208,Fiction,No
1997,The Cobra Event,Richard Preston,432,Fiction,No
2002,The Demon in the Freezer,Richard Preston,304,Nonfiction,No
1954,The Fellowship of the Ring,J.R.R. Tolkien,423,Fiction,No
1994,The Hot Zone,Richard Preston,368,Nonfiction,No
1955,The Return of the King,J.R.R. Tolkien,432,Fiction,No
1954,The Two Towers,J.R.R. Tolkien,352,Fiction,No
2003,The Zombie Survival Guide,Max Brooks,288,Fiction,No
2025,No,Myslef,10,Fiction,No
